Original Text,Translated to English,Topic
"Je možno všechna tato předsevzetí Rady Evropské unie dodržet i v jednotlivých státech, členech EU, když je v podstatě upřednostňován právní systém jednotlivých zemí před právním systémem Soudního dvora Evropské unie????? Nedala by se tato situace v případě nutnosti nějak změnit? Zajímalo by mne, jak můžeme ""vybudovat dostatečnou úroveň kapacity, aby zaručila svůj hospodářský a sociální blahobyt"", když máme jiná pravidla nejenom právní, ale i lidská? Vaše doporučení jsou obdivuhodná, ovšem s dalším prosazováním Vašich doporučených pravidel souvisejících s právním systémem jednotlivých zemí, mohou být tato doporučení Evropské rady bezpředmětná. A člověk může zažívat stav bezpráví. Vždyť máme problém v naší společnosti například s úctou k člověku a jeho lidským právům. Jak jsem pochopila ze své zkušenosti, v naší zemi se lidská práva, zejména právo na sebeurčení, kdy i trochu jiný klobouk může být podezřelý :-) moc nerespektují. Právo na soukromí v oblasti zdraví se rovněž nerespektuje. Naopak mi připadá, že kvůli prozrazení lékařského tajemství dochází ke stigmatizaci člověka a k následnému přehlížejícímu pohledu jiných lidí vůči těmto slabším, citlivějším lidem, jež častěji končí v rukou odborníků než lidé podobní psychopatům a jejich bezcitnosti, lidé s chybějící sebereflexí, lidé trochu primitivnějšího myšlení, jež nesouvisí s IQ ale s EQ, to znamená primitivnější myšlení bez schopnosti empatie vůči jiným lidem, zejména těm neprávem stigmatizovaným. V naší zemi chybí dostatečná úroveň v komunikaci mezi lidmi, jež bývá založena na úctě, vzájemnému respektu. Úroveň komunikace jež možná souvisí s absencí víry ve vyšší sílu, víry v Boha. Přestože pomluva je trestný čin, je hypoteticky možno záměrně zlikvidovat člověka právě ""repeat, repeat repeat"" pomluvou.","It is possible to comply with all these resolutions of the Council of the European Union in individual countries, EU members, when the legal system of individual countries is essentially preference to the legal system of the Court of Justice of the European Union ????? Could this situation not change somehow if necessary? I wonder how we can ""build a sufficient level of capacity to guarantee our economic and social prosperity"" when we have other rules not only legal but also human? Your recommendations are admirable, but with further promotion of your recommended rules related to the legal system of individual countries, these recommendations of the European Council may be irrelevant. And one can experience the state of injustice. After all, we have a problem in our society, for example, with respect for man and his human rights. As I understood from my experience, in our country human rights, especially the right to self-determination, when even a slightly different hat can be suspicious :-) They do not respect much. The right to health in the field of health is also not respected. On the contrary, it seems to me that, due to the disclosure of medical secrets, there is a stigmatization of man and the subsequent overlooking of other people towards these weaker, more sensitive people who end up in the hands of experts than people similar to psychopaths and their heartlessness, people with missing self -reflection, people a little more primitive thinking, people, people, people a little more primitive, which is not related to IQ but to EQ, that is, more primitive thinking without the ability of empathy towards other people, especially those wrongly stigmatized. In our country there is a sufficient level of communication between people, which is based on respect, mutual respect. The level of communication may be related to the absence of faith in higher strength, faith in God. Although the defamation is a crime, it is hypothetically possible to deliberately destroy a person just ""repeat, repeat repet"" by defamation.",opinion
MIGLIORARE LA GRAFICA: -METTERE UNO SFONDO COLORATO.,Improve the graphics: -Menous a colorful background.,search engine
Nahh all good chief,Nahh all good chief,opinion
"повече ясна, збита, конкретна и специфична информация по-различните теми","More clear, nit, specific and specific information different topics",information
No comment.,No comment.,comment
Inserire un organigramma con dipendenze gerarchiche tra i vari Organi Istituzionali.,Insert a organization chart with hierarchical addictions between the various institutional bodies.,opinion
Nie,NO,nothing
No,No,nothing
la vérité sur les lois qui nous gouvernent,The truth about the laws that govern us,opinion
Concursuri,competitions,opinion
no,no,nothing
"Cei care conduc Romania au nevoie de cateva principii elementare ale democratiei, incl. alegerea primarilor in 2 tururi de scrutin. Nu intr-un singur tur, cum se intampla de cativa ani.","Those who lead Romania need some elementary principles of democracy, incl. Choosing mayors in 2 elections. Not in one round, as for several years.",opinion
"Soms heb ik het gevoel dat het nogal bombastisch over komt. Veel mooie en dure woorden, die niet voor iedereen helder zijn. Europa moet 'dichter' bij de burger.",Sometimes I feel that it is quite bombastic. Many beautiful and expensive words that are not clear to everyone. Europe must be 'poet' with the citizen.,opinion
NON,NON,nothing
Nu,Not,nothing
"Les charges de responsabilités des gouvernés européen sur lanceur d' alerte indicateur des services des renseignements mise à mort en France pour ses droits financiers volés sous la volonté de mercenaires employés dans les structures administratives françaises, et par des tiers ramifications francais complice dans les instances européennes .","The responsibilities of European governed European governed launcher indicator of the information services put to death in France for its financial rights stolen under the will of mercenaries employed in French administrative structures, and by third parties French accomplice in European bodies .",opinion
neviem,I do not know,nothing
"No, thanks.","No, thanks.",nothing
Nein,No,nothing
I would like to find other services you may have for Africans. So next time I would like to see other Countries from the other continents.,I would like to find other services you may have for Africans. So next time I would like to see other Countries from the other continents.,document
Is very important for me. And easy to understand and use.,Is very important for me. And easy to understand and use.,document
Nee,Nee,nothing
Посещавам го за пръв път и не мога да направя коментар или да дам препоръка.,I visit it for the first time and cannot make a comment or make a recommendation.,comment
Einfache Sprache für einfache Menschen,Simple language for simple people,translation
La finestra per il sondaggio dovrebbe apparire qualche minuto dopo per dare la possibilità di leggere prima quello che si stava cercando e poi fare il sondaggio. Mi è stato chiesto subito di fare il sondaggio ma non ho ancora avuto modo di consultare bene la pagina.,The survey window should appear a few minutes later to give the opportunity to read first what was looking for and then do the survey. I was immediately asked to do the survey but I have not yet had the opportunity to consult the page well.,nothing
No comments,No comments,comment
nu am,I do not have,nothing
Rozwiązać radę,Resolve the advice,opinion
Hope many things to learn,Hope many things to learn,opinion
Nein,No,nothing
sa fiti foarte responsabili pentru tot ce transmiteti,be very responsible for everything you transmit,opinion
No,No,nothing
"No, I don't have a comment or suggestion in this moment. It's the my first time in this website.","No, I don't have a comment or suggestion in this moment. It's the my first time in this website.",suggestion
Keine,No,nothing
Nein,No,nothing
"Per me che sono un autodidatta nell'utilizzo della digitalizzazione, forse qualche miglioramento nel rendere maggiormente facilitante la navigazione del sito. Comunque un SINCERO GRAZIE","For me who are a self -taught in the use of digitization, perhaps some improvement in making the site navigation more facilitating. However a sincere thanks",opinion
noch nicht,not yet,nothing
"Es wäre hilfreich, wenn bei Besuchen, die keine Gruppengröße erreichen, mehrere Personen gleichzeitig gebucht werden könnten // It would be helpful if, for visits, multiple persons could be booked at the same time.","It would be helpful if visits that do not reach group size could be booked at the same time // It would be helpful if, for visits, multiple persons could be booked at the same time.",nothing
Lo conosciamo solo adesso,We only know him now,nothing
Nie,NO,nothing
"Ganz Europa muss bessere Informationen erhalten, damit Rechtsradikale gestoppt werden können",All of Europe must receive better information so that right -wing radicals can be stopped,search engine
do what you can,do what you can,nothing
Nie,NO,nothing
