Original Text,Translated in English,Topic
I speak several languages and really like that I can compare the translations improving some of the languages I don't speak well.,I speak several languages and really like that I can compare the translations improving some of the languages I don't speak well.,language
It will be easier to use this website and understand the nuances of offers,It will be easier to use this website and understand the nuances of offers,ease of use
Tal vez no me diera la misma confianza en cuanto a los matices que determinan el sentido de un precepto.,Maybe I would not give me the same confidence in the nuances that determine the meaning of a precept.,content
"mejorando, espero","improving, I hope",nothing
"easier if in my mother tongue, it should be available in each of the EU members countries' languages","easier if in my mother tongue, it should be available in each of the EU members countries' languages",ease of use
Uneori traducerea este neclara,Sometimes translation is unclear,human translation
53596242,53596242,understanding
"ich würde sie weniger nutzen, weil es unpersönlich erscheint",I would use it less because it seems impersonal,reliability
"Machine translations never catch nuances, as is the case with the Council website which is significantly legalistic and where nuances matter a great deal","Machine translations never catch nuances, as is the case with the Council website which is significantly legalistic and where nuances matter a great deal",machine translation
Verkeerde weergave,Incorrect display,information
"Geen idee eigenlijk, ik doe het zelf via Google Translate.","No idea actually, I do it myself via Google Translate.",language
Oki,Cut down,nothing
Maskinoversættelse virker grundlæggende ikke endnu,Machine translation is basically not yet,machine translation
"Om det avser AI-översättning är jag negativ. till det. Det går alldeles för fort med ""utvecklingen"" av AI. Lätt att tappa kontrollen...!??","If it concerns AI translation, I am negative. to it. It goes far too fast with the ""development"" by AI. Easy to lose control ...! ??",human translation
Menšia dôvera v správnosť prekladu.,Less confidence in the correct translation.,reliability
Los traductores actuales son bastante eficientes,Current translators are quite efficient,machine translation
"Jag tror att språket skulle bli sämre och därmed svårare att förstå, i bästa fall bara mer irriterande.","I think the language would be worse and thus harder to understand, at best just more annoying.",language
Un peu de méfiance sur le risque d'une mauvaise traduction,A little distrust of the risk of bad translation,human translation
would like to see the original text in English,would like to see the original text in English,language
Θα υπάρχουν παρερμηνείες καί και λάθι και θα πρέπει να σκέφτεσαι το πιο είναι το νόημα σε σημαντικές προτάσεις.,There will be misinterpretations and the mistakes and you have to think about it is the meaning of important suggestions.,machine translation
Ce n'est pas tant la manière de créer le site qui importe les utilisateurs mis bien son contenu et la manière de l'utiliser. Que ce soit une machine qui réalise les traductions n'a aucune implication pour moi tant que c'est fiable.,It is not so much the way to create the site that imports users put in its content and how to use it. Whether it is a machine that realizes translations has no involvement for me as long as it is reliable.,content
